salary,city,positionName,district,companyFullName,createTime
3k-5k,成都,人事行政助理（实习生）,高新区,四川阵风科技有限公司,2017-12-22 15:11:07
3k-4k,成都,产品助理,高新区,成都颠峰科创信息技术有限公司,2017-12-22 15:07:13
4k-6k,成都,汽车网销售管理培训生,成华区,广州太平洋电脑信息咨询有限公司,2017-12-22 15:00:28
3k-4k,成都,行政部实习生（文案/平面设计),高新区,北京大米未来科技有限公司,2017-12-22 14:56:45
8k-16k,成都,后台／服务端／服务器开发工程师,高新区,成都格斗科技有限公司,2017-12-22 14:54:15
1k-2k,成都,商务专员（实习生）,高新区,成都精灵云科技有限公司,2017-12-22 14:52:57
5k-8k,成都,片区经理,高新区,重庆省心宝科技有限公司,2017-12-22 14:49:47
5k-10k,成都,JAVA开发工程师（2018校招）,锦江区,阳光人寿保险股份有限公司,2017-12-22 14:46:06
1k-2k,成都,外贸实习生,高新区,成都福立盟科技有限公司,2017-12-22 14:39:34
2k-3k,成都,财务助理,高新区,成都晶橙装饰工程设计有限公司,2017-12-22 14:36:21
3k-6k,成都,客户经理,高新区,四川锦量投资管理有限公司,2017-12-22 14:33:29
8k-16k,成都,多媒体工程师,武侯区,成都燃光科技有限公司,2017-12-22 14:25:51
5k-10k,成都,Personal Assistant（CEO助理）,高新区,四川克里村科技有限公司,2017-12-22 14:04:15
7k-10k,成都,商务实习生,锦江区,乐惠（北京）科技有限公司,2017-12-22 13:58:48
2k-4k,成都,游戏引导员,高新区,成都快来玩科技有限公司深圳分公司,2017-12-22 13:55:32
3k-5k,成都,人事行政助理（实习生）,高新区,四川阵风科技有限公司,2017-12-22 15:11:07
3k-4k,成都,产品助理,高新区,成都颠峰科创信息技术有限公司,2017-12-22 15:07:13
4k-6k,成都,汽车网销售管理培训生,成华区,广州太平洋电脑信息咨询有限公司,2017-12-22 15:00:28
3k-4k,成都,行政部实习生（文案/平面设计),高新区,北京大米未来科技有限公司,2017-12-22 14:56:45
8k-16k,成都,后台／服务端／服务器开发工程师,高新区,成都格斗科技有限公司,2017-12-22 14:54:15
1k-2k,成都,商务专员（实习生）,高新区,成都精灵云科技有限公司,2017-12-22 14:52:57
5k-8k,成都,片区经理,高新区,重庆省心宝科技有限公司,2017-12-22 14:49:47
5k-10k,成都,JAVA开发工程师（2018校招）,锦江区,阳光人寿保险股份有限公司,2017-12-22 14:46:06
1k-2k,成都,外贸实习生,高新区,成都福立盟科技有限公司,2017-12-22 14:39:34
2k-3k,成都,财务助理,高新区,成都晶橙装饰工程设计有限公司,2017-12-22 14:36:21
3k-6k,成都,客户经理,高新区,四川锦量投资管理有限公司,2017-12-22 14:33:29
8k-16k,成都,多媒体工程师,武侯区,成都燃光科技有限公司,2017-12-22 14:25:51
5k-10k,成都,Personal Assistant（CEO助理）,高新区,四川克里村科技有限公司,2017-12-22 14:04:15
7k-10k,成都,商务实习生,锦江区,乐惠（北京）科技有限公司,2017-12-22 13:58:48
2k-4k,成都,游戏引导员,高新区,成都快来玩科技有限公司深圳分公司,2017-12-22 13:55:32
3k-5k,成都,人事行政助理（实习生）,高新区,四川阵风科技有限公司,2017-12-22 15:11:07
3k-4k,成都,产品助理,高新区,成都颠峰科创信息技术有限公司,2017-12-22 15:07:13
4k-6k,成都,汽车网销售管理培训生,成华区,广州太平洋电脑信息咨询有限公司,2017-12-22 15:00:28
3k-4k,成都,行政部实习生（文案/平面设计),高新区,北京大米未来科技有限公司,2017-12-22 14:56:45
8k-16k,成都,后台／服务端／服务器开发工程师,高新区,成都格斗科技有限公司,2017-12-22 14:54:15
1k-2k,成都,商务专员（实习生）,高新区,成都精灵云科技有限公司,2017-12-22 14:52:57
5k-8k,成都,片区经理,高新区,重庆省心宝科技有限公司,2017-12-22 14:49:47
5k-10k,成都,JAVA开发工程师（2018校招）,锦江区,阳光人寿保险股份有限公司,2017-12-22 14:46:06
1k-2k,成都,外贸实习生,高新区,成都福立盟科技有限公司,2017-12-22 14:39:34
2k-3k,成都,财务助理,高新区,成都晶橙装饰工程设计有限公司,2017-12-22 14:36:21
3k-6k,成都,客户经理,高新区,四川锦量投资管理有限公司,2017-12-22 14:33:29
8k-16k,成都,多媒体工程师,武侯区,成都燃光科技有限公司,2017-12-22 14:25:51
5k-10k,成都,Personal Assistant（CEO助理）,高新区,四川克里村科技有限公司,2017-12-22 14:04:15
7k-10k,成都,商务实习生,锦江区,乐惠（北京）科技有限公司,2017-12-22 13:58:48
2k-4k,成都,游戏引导员,高新区,成都快来玩科技有限公司深圳分公司,2017-12-22 13:55:32
3k-5k,成都,人事行政助理（实习生）,高新区,四川阵风科技有限公司,2017-12-22 15:11:07
3k-4k,成都,产品助理,高新区,成都颠峰科创信息技术有限公司,2017-12-22 15:07:13
4k-6k,成都,汽车网销售管理培训生,成华区,广州太平洋电脑信息咨询有限公司,2017-12-22 15:00:28
3k-4k,成都,行政部实习生（文案/平面设计),高新区,北京大米未来科技有限公司,2017-12-22 14:56:45
8k-16k,成都,后台／服务端／服务器开发工程师,高新区,成都格斗科技有限公司,2017-12-22 14:54:15
1k-2k,成都,商务专员（实习生）,高新区,成都精灵云科技有限公司,2017-12-22 14:52:57
5k-8k,成都,片区经理,高新区,重庆省心宝科技有限公司,2017-12-22 14:49:47
5k-10k,成都,JAVA开发工程师（2018校招）,锦江区,阳光人寿保险股份有限公司,2017-12-22 14:46:06
1k-2k,成都,外贸实习生,高新区,成都福立盟科技有限公司,2017-12-22 14:39:34
2k-3k,成都,财务助理,高新区,成都晶橙装饰工程设计有限公司,2017-12-22 14:36:21
3k-6k,成都,客户经理,高新区,四川锦量投资管理有限公司,2017-12-22 14:33:29
8k-16k,成都,多媒体工程师,武侯区,成都燃光科技有限公司,2017-12-22 14:25:51
5k-10k,成都,Personal Assistant（CEO助理）,高新区,四川克里村科技有限公司,2017-12-22 14:04:15
7k-10k,成都,商务实习生,锦江区,乐惠（北京）科技有限公司,2017-12-22 13:58:48
2k-4k,成都,游戏引导员,高新区,成都快来玩科技有限公司深圳分公司,2017-12-22 13:55:32
3k-5k,成都,人事行政助理（实习生）,高新区,四川阵风科技有限公司,2017-12-22 15:11:07
3k-4k,成都,产品助理,高新区,成都颠峰科创信息技术有限公司,2017-12-22 15:07:13
4k-6k,成都,汽车网销售管理培训生,成华区,广州太平洋电脑信息咨询有限公司,2017-12-22 15:00:28
3k-4k,成都,行政部实习生（文案/平面设计),高新区,北京大米未来科技有限公司,2017-12-22 14:56:45
8k-16k,成都,后台／服务端／服务器开发工程师,高新区,成都格斗科技有限公司,2017-12-22 14:54:15
1k-2k,成都,商务专员（实习生）,高新区,成都精灵云科技有限公司,2017-12-22 14:52:57
5k-8k,成都,片区经理,高新区,重庆省心宝科技有限公司,2017-12-22 14:49:47
5k-10k,成都,JAVA开发工程师（2018校招）,锦江区,阳光人寿保险股份有限公司,2017-12-22 14:46:06
1k-2k,成都,外贸实习生,高新区,成都福立盟科技有限公司,2017-12-22 14:39:34
2k-3k,成都,财务助理,高新区,成都晶橙装饰工程设计有限公司,2017-12-22 14:36:21
3k-6k,成都,客户经理,高新区,四川锦量投资管理有限公司,2017-12-22 14:33:29
8k-16k,成都,多媒体工程师,武侯区,成都燃光科技有限公司,2017-12-22 14:25:51
5k-10k,成都,Personal Assistant（CEO助理）,高新区,四川克里村科技有限公司,2017-12-22 14:04:15
7k-10k,成都,商务实习生,锦江区,乐惠（北京）科技有限公司,2017-12-22 13:58:48
2k-4k,成都,游戏引导员,高新区,成都快来玩科技有限公司深圳分公司,2017-12-22 13:55:32
